Company,Image,employerprofile_employerrating_lq_zl,jobcard_seolink_r4hue_URL,Title,Location,Salary,Description,Salary1,mlxsm,Description2,dflex
h2o.ai3.4 ★,https://media.glassdoor.com/sql/1380085/h2o-ai-squarelogo-1476477016376.png,3.4 ★,"https://www.glassdoor.com/job-listing/customer-data-scientist-nyc-h2o-ai-JV_KO0,27_KE28,34.htm?jl=1008904065197",Customer Data Scientist- NYC,"New York, NY",$120K - $160K (Employer est.),"Create, design, and deliver compelling presentations on complex and technical concepts. Own account-related technical items and relationships - account planning……",(Employer est.),Easy Apply,,19d
Altak Group2 ★,https://media.glassdoor.com/sql/2002298/altak-squarelogo-1636622090366.png,2 ★,"https://www.glassdoor.com/job-listing/sr-data-scientist-altak-group-JV_KO0,17_KE18,29.htm?jl=1008926385856",Sr. Data Scientist,Remote,$70.00 - $75.00 Per Hour (Employer est.),Communicate findings and insights effectively to both technical and non-technical stakeholders using data visualization techniques.…,(Employer est.),Easy Apply,data,8d
NXP Semiconductors4.1 ★,https://media.glassdoor.com/sql/13528/nxp-squarelogo.png,4.1 ★,"https://www.glassdoor.com/job-listing/entry-level-data-science-december-2023-and-may-2024-grads-nxp-semiconductors-JV_KO0,57_KE58,76.htm?jl=1008852986083",Entry Level Data Science - December 2023 and May 2024 Grads,"Austin, TX",$54K - $87K (Glassdoor est.),"Collaborating with stakeholders throughout the organization, you will design and develop predictive data models and algorithms in support of corporate goals.…",(Glassdoor est.),,data,30d+
Fortegra3.8 ★,https://media.glassdoor.com/sql/354679/fortegra-squarelogo-1601913017798.png,3.8 ★,"https://www.glassdoor.com/job-listing/data-scientist-fortegra-JV_KO0,14_KE15,23.htm?jl=1008882003601",Data Scientist,"Jacksonville, FL",$84K - $123K (Glassdoor est.),"Build and maintain data pipelines in Python to clean, validate, and prepare data for ingestion into models & analysis, and to analyze/monitor outputs of models ……",(Glassdoor est.),Easy Apply,data,30d+
Rec Room4.5 ★,https://media.glassdoor.com/sql/2450158/rec-room-squarelogo-1576014482733.png,4.5 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-machine-learning-rec-room-JV_KO0,38_KE39,47.htm?jl=1008918382820","Senior Data Scientist, Machine Learning",Remote,$179K - $218K (Employer est.),"Master's or Ph.D. degree in computer science, statistics, mathematics, or a related field. Design, develop and implement production-facing ML models to deliver……",(Employer est.),Easy Apply,,12d
Massachusetts General Hospital(MGH)4 ★,https://media.glassdoor.com/sql/20189/massachusetts-general-hospital-squarelogo.png,4 ★,"https://www.glassdoor.com/job-listing/clinical-data-scientist-massachusetts-general-hospital-mgh-JV_KO0,23_KE24,58.htm?jl=1008923039174",Clinical Data Scientist,"Boston, MA",$90K - $134K (Glassdoor est.),"Under the guidance and supervision of the Data and Analytics, Director and in collaboration with physicians and administrators, the clinical data scientist will……",(Glassdoor est.),,Data,10d
CRL Technologies4.7 ★,https://media.glassdoor.com/sql/836119/crl-technologies-squarelogo-1505203170328.png,4.7 ★,"https://www.glassdoor.com/job-listing/senior-data-architect-ts999-crl-technologies-JV_KO0,27_KE28,44.htm?jl=1008847352339",Senior Data Architect #TS999,"Lexington Park, MD",$98K - $142K (Glassdoor est.),"Candidate must have at least ten (10) years of experience in computer science, data science, computer engineering, or digital engineering systems design.…",(Glassdoor est.),Easy Apply,data,30d+
CVS Health3.1 ★,https://media.glassdoor.com/sql/437/cvs-health-squareLogo-1613508257835.png,3.1 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-cvs-health-JV_KO0,21_KE22,32.htm?jl=1008879071319",Senior Data Scientist,"Wellesley, MA",$104K - $200K (Employer est.),"Collaborates with business partners to understand their problems and goals, develop predictive modeling, statistical analysis, data reports and performance……",(Employer est.),,data,30d+
New York City Council3.9 ★,https://media.glassdoor.com/sql/327671/new-york-city-council-squarelogo.png,3.9 ★,"https://www.glassdoor.com/job-listing/data-scientist-new-york-city-council-JV_KO0,14_KE15,36.htm?jl=1008853181335",Data Scientist,"New York, NY",$75K - $85K (Employer est.),"Excellent analytical, verbal, and written communication skills and ability to communicate technical results to both technical and non-technical audiences.…",(Employer est.),Easy Apply,,30d+
"Miltenyi Biotec, Inc.4.2 ★",https://media.glassdoor.com/sql/668757/miltenyi-biotec-squarelogo-1594312395695.png,4.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-spatial-biology-pc-1228-miltenyi-biotec-inc-JV_KO0,38_KE39,58.htm?jl=1008777821011","Data Scientist, Spatial Biology *PC 1228","San Diego, CA",$87K - $126K (Glassdoor est.),"Master's Degree in computational science, bioinformatics, biostatistics or a similar field preferred; A background in biology, mathematics, physics,……",(Glassdoor est.),Easy Apply,,30d+
CVS Health3.1 ★,https://media.glassdoor.com/sql/437/cvs-health-squareLogo-1613508257835.png,3.1 ★,"https://www.glassdoor.com/job-listing/decision-scientist-government-analytics-cvs-health-JV_KO0,39_KE40,50.htm?jl=1008926405757","Decision Scientist, Government Analytics","New York, NY",$81K - $170K (Employer est.),"“Translate” technical concepts for non-technical audiences. Bachelor’s degree in quantitative field, or an equivalent combination of formal education and……",(Employer est.),,,8d
